outcome,cntry,n_rounds,r_first,r_last,c,net,persistent,any_pair,episodic,n_spans,n_declining,n_rising,frac_declining,net_lower
trstprl,NL,11,1,11,3.341,False,False,True,True,55,4,9,0.073,-0.024
trstprl,NO,11,1,11,3.394,False,False,False,False,55,0,5,0.0,-0.1494
trstprl,PL,11,1,11,3.375,False,False,True,True,55,11,23,0.2,-0.1309
trstprl,PT,11,1,11,3.323,False,False,True,True,55,16,15,0.291,-0.0677
trstprl,RS,3,9,11,2.381,False,False,False,False,3,0,0,0.0,-0.11
trstprl,RU,5,3,8,2.817,False,False,True,True,10,2,4,0.2,-0.1914
trstprl,SE,11,1,11,3.378,False,False,True,True,55,5,5,0.091,-0.0856
trstprl,SI,11,1,11,3.371,False,False,True,True,55,21,15,0.382,-0.077
trstprl,SK,8,2,11,3.096,False,False,True,True,28,9,4,0.321,-0.2249
trstprl,UA,6,2,11,2.961,True,False,True,True,15,7,1,0.467,0.2667
stfdem,AT,8,1,11,3.141,False,False,True,True,28,8,4,0.286,-0.0576
stfdem,BE,11,1,11,3.341,False,False,True,True,55,6,4,0.109,-0.0017
stfdem,BG,7,3,11,3.041,False,False,False,False,21,0,7,0.0,-0.1916
stfdem,CH,11,1,11,3.339,False,False,False,False,55,0,5,0.0,-0.1129
stfdem,CY,7,3,11,3.029,True,False,True,False,21,14,0,0.667,0.061
stfdem,CZ,9,1,10,3.263,False,False,False,False,36,0,9,0.0,-0.1955
stfdem,DE,11,1,11,3.36,False,False,True,True,55,7,16,0.127,-0.073
stfdem,DK,8,1,9,3.174,False,False,False,False,28,0,0,0.0,-0.0169
stfdem,EE,10,2,11,3.292,False,False,True,True,45,3,13,0.067,-0.1241
stfdem,ES,11,1,11,3.323,True,False,True,True,55,33,3,0.6,0.0535
stfdem,FI,11,1,11,3.362,False,False,True,True,55,12,4,0.218,-0.0667
stfdem,FR,11,1,11,3.354,True,False,True,True,55,19,6,0.345,0.0124
stfdem,GB,11,1,11,3.338,True,False,True,True,55,13,7,0.236,0.0334
stfdem,GR,6,1,11,2.933,False,False,True,True,15,6,4,0.4,-0.0161
stfdem,HR,5,4,11,2.868,False,False,True,True,10,1,4,0.1,-0.1366
stfdem,HU,11,1,11,3.334,True,False,True,True,55,13,14,0.236,0.0345
stfdem,IE,11,1,11,3.335,False,False,True,True,55,9,18,0.164,-0.1933
stfdem,IL,8,1,11,3.106,True,False,True,True,28,14,3,0.5,0.0559
stfdem,IS,6,2,11,2.989,False,False,True,True,15,1,4,0.067,-0.0732
stfdem,IT,6,1,11,2.945,False,False,True,True,15,2,6,0.133,-0.042
stfdem,LT,7,5,11,3.088,False,False,True,True,21,1,6,0.048,-0.2976
stfdem,LV,4,4,11,2.685,False,False,True,True,6,1,3,0.167,-0.261
stfdem,ME,3,9,11,2.466,False,False,False,False,3,0,0,0.0,-0.1879
stfdem,NL,11,1,11,3.351,False,False,False,True,55,5,8,0.091,-0.0314
stfdem,NO,11,1,11,3.343,False,False,False,False,55,0,4,0.0,-0.1091
stfdem,PL,11,1,11,3.366,False,False,True,True,55,12,23,0.218,-0.26
stfdem,PT,11,1,11,3.401,False,False,True,True,55,10,27,0.182,-0.0793
stfdem,RS,3,9,11,2.413,False,False,False,False,3,0,0,0.0,-0.087
stfdem,RU,5,3,8,2.877,False,False,False,False,10,0,2,0.0,-0.2313
stfdem,SE,11,1,11,3.334,False,False,False,True,55,5,2,0.091,-0.1045
stfdem,SI,11,1,11,3.369,False,False,True,True,55,20,16,0.364,-0.1593
stfdem,SK,8,2,11,3.115,False,False,True,True,28,5,4,0.179,-0.1828
stfdem,UA,6,2,11,2.957,True,False,True,True,15,6,3,0.4,0.0839
