outcome,target,country,rho,stable,w_T1,w_T2,w_T3,chosen,w_T4,ratio_T3_T1,ratio_T3_T2
ing4,5,Nicaragua,0.13328029813743975,True,0.11301276523797284,0.1371446354228495,0.11102156430636327,T1,0.11301276523797284,0.9823807432070469,0.8095217429690735
ing4,6,Costa Rica,0.13286772044839879,True,0.11314043953561698,0.13729957230070042,0.111184182650756,T1,0.11314043953561698,0.9827094813057966,0.8097926365513435
ing4,7,PanamÃ¡,0.12840658968654997,True,0.11448794045499719,0.13893480812500056,0.11241110385033272,T1,0.11448794045499719,0.9818597784499336,0.8090924467912729
ing4,8,Colombia,0.13190698198947326,True,0.11397561160811467,0.1383130805460465,0.11202636174517418,T1,0.11397561160811467,0.9828976582319852,0.8099477020026239
ing4,9,Ecuador,0.1308428130099311,True,0.11372617249015915,0.13801037813167608,0.11180500939146984,T1,0.11372617249015915,0.9831071154807787,0.8101203033064396
ing4,10,Bolivia,0.13398234230107522,True,0.11398336337431478,0.13832248756433468,0.11199804122711256,T1,0.11398336337431478,0.9825823515956225,0.8096878764924
ing4,11,PerÃº,0.13172088121643255,True,0.1142562013396646,0.13865358523466087,0.1123051667460303,T1,0.1142562013396646,0.9829240376385856,0.8099694397080477
ing4,12,Paraguay,0.1315930216445102,True,0.1150377807063685,0.13960205700309267,0.11296978283516824,T1,0.1150377807063685,0.9820233156576728,0.8092272081110207
ing4,13,Chile,0.13263725384673036,True,0.11295223271986764,0.1370711772598775,0.11101402684980728,T1,0.11295223271986764,0.9828404820038636,0.8099005864619689
ing4,14,Uruguay,0.13584698363449382,True,0.11222325079667175,0.13618653418547766,0.11024677859648904,T1,0.11222325079667175,0.9823880329062672,0.8095277499781273
ing4,15,Brasil,0.12890611961357948,True,0.11381064653932055,0.13811289011472982,0.11188333905301351,T1,0.11381064653932055,0.9830656661313213,0.8100861473543307
ing4,16,16,0.13244748758221345,True,0.11283234463537742,0.13692568920280418,0.11086849015983943,T1,0.11283234463537742,0.9825949333776208,0.8096982443931996
ing4,17,Argentina,0.13526028125148276,True,0.11265807993043016,0.13671421336309056,0.11068041419272222,T1,0.11265807993043016,0.9824454159086573,0.8095750359092011
ing4,21,RepÃºblica Dominicana,0.1318973636323314,True,0.11372047109939461,0.13800345931010616,0.11174299270448376,T1,0.11372047109939461,0.9826110604731625,0.8097115337767529
ing4,22,HaitÃ­,0.13272662568733035,True,0.1095889164635971,0.13854651370461024,0.10750385985417413,T1,0.1095889164635971,0.9809738368011369,0.7759405630615797
ing4,23,Jamaica,0.1315461718242667,True,0.11394590107121201,0.13827702585131219,0.11193863248797606,T1,0.11394590107121201,0.9823840211506908,0.8095244441281408
ing4,24,24,0.1308522148024299,True,0.1131338691376521,0.13729159891086629,0.11119809160570439,T1,0.1131338691376521,0.9828894958980638,0.809940975907036
ing4,25,Trinidad y Tobago,0.13354661593640846,True,0.11411067833753862,0.1384769883782776,0.11212804504285862,T1,0.11411067833753862,0.9826253482709534,0.8097233075040484
ing4,26,Belice,0.13144839321083399,True,0.11640813304727379,0.14126502376440114,0.11430995214288135,T1,0.11640813304727379,0.9819756502448127,0.8091879298694991
ing4,27,Surinam,0.12973449366742504,True,0.11384516906509995,0.13815478431315886,0.11182796350259616,T1,0.11384516906509995,0.9822811492216215,0.8094396734688026
ing4,28,Bahamas,0.13227132482417148,True,0.11424816024434327,0.13864382710615283,0.11229529779890217,T1,0.11424816024434327,0.9829068368255165,0.809955265537521
ing4,30,Grenada,0.13065956679570945,True,0.11377188360717072,0.13806585004641175,0.1118471327084983,T1,0.11377188360717072,0.9830823676496545,0.8100999100856595
ing4,40,Estados Unidos,0.13619334508706765,True,0.11197151550191778,0.1358810452865077,0.10998056768066314,T1,0.11197151550191778,0.9822191580391663,0.8093885902096725
ing4,41,CanadÃ¡,0.1359034170354784,True,0.11186031529273445,0.13574610024631442,0.10988954480332316,T1,0.11186031529273445,0.9823818618403332,0.8095226647684616
